iter	Passed	Remaining
0	0	43
1	0	40
2	1	38
3	1	36
4	1	34
5	2	33
6	2	32
7	2	31
8	3	30
9	3	30
10	3	29
11	4	30
12	4	30
13	4	30
14	5	31
15	5	30
16	6	30
17	6	30
18	6	29
19	7	29
20	7	28
21	7	28
22	8	27
23	8	27
24	8	26
25	9	26
26	9	25
27	9	25
28	10	25
29	10	24
30	10	24
31	11	23
32	11	23
33	11	22
34	12	22
35	12	22
36	12	21
37	13	21
38	13	20
39	13	20
40	14	20
41	14	19
42	14	19
43	14	19
44	15	18
45	15	18
46	15	17
47	16	17
48	16	17
49	16	16
50	17	16
51	18	16
52	18	16
53	19	16
54	19	16
55	20	15
56	20	15
57	20	15
58	21	14
59	21	14
60	21	13
61	22	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	11
69	25	10
70	25	10
71	25	9
72	26	9
73	26	9
74	26	8
75	27	8
76	27	8
77	27	7
78	28	7
79	28	7
80	28	6
81	29	6
82	29	6
83	29	5
84	30	5
85	30	4
86	30	4
87	31	4
88	31	3
89	32	3
90	32	3
91	32	2
92	33	2
93	33	2
94	33	1
95	34	1
96	34	1
97	34	0
98	35	0
99	35	0
